,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
84,A1,112,0,2023-10-21 13:40:00+00,2023,10,Saturday ,13,WASHINGTON ST,42.35512291409929,-71.06088025712486,"(42.35512291409929, -71.06088025712486)"
194,D4,143,0,2024-01-09 18:20:00+00,2024,1,Tuesday  ,18,"BLAGDEN ST & EXETER ST
BOSTON  MA 02116
UNITED STA",42.348688514798994,-71.07909451313395,"(42.348688514798994, -71.07909451313395)"
234,C6,186,0,2023-09-02 13:15:00+00,2023,9,Saturday ,13,ALLSTATE RD,42.326965998839725,-71.06198658978266,"(42.326965998839725, -71.06198658978266)"
484,D4,143,0,2024-08-16 16:51:00+00,2024,8,Friday   ,16,BOYLSTON ST,42.34932426228881,-71.08014852728094,"(42.34932426228881, -71.08014852728094)"
522,D4,134,0,2024-05-15 16:30:00+00,2024,5,Wednesday,16,BOYLSTON ST,42.35095862933817,-71.07412829839986,"(42.35095862933817, -71.07412829839986)"
539,D4,628,0,2024-09-27 13:21:00+00,2024,9,Friday   ,13,PARK DR,42.3441665899355,-71.10359165150426,"(42.3441665899355, -71.10359165150426)"
541,D4,,0,2023-05-02 19:51:00+00,2023,5,Tuesday  ,19,NEWBURY STREET,,,
576,D4,143,0,2023-10-08 14:25:00+00,2023,10,Sunday   ,14,RING ROAD,,,
587,B2,311,0,2024-09-29 20:33:00+00,2024,9,Sunday   ,20,WARREN ST,42.316966055161714,-71.08254116899847,"(42.316966055161714, -71.08254116899847)"
635,E5,550,0,2024-08-04 20:58:00+00,2024,8,Sunday   ,20,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
649,D14,796,0,2024-08-01 21:09:00+00,2024,8,Thursday ,21,HARVARD AVE,42.35085332729481,-71.13125809815298,"(42.35085332729481, -71.13125809815298)"
674,A1,105,0,2024-08-01 03:43:00+00,2024,8,Thursday ,3,SUMMER ST,42.354500911806085,-71.05916819923317,"(42.354500911806085, -71.05916819923317)"
741,C6,186,0,2023-10-05 09:10:00+00,2023,10,Thursday ,9,ALLSTATE RD,42.330155992175214,-71.06298655802257,"(42.330155992175214, -71.06298655802257)"
747,A1,112,0,2024-02-05 17:06:00+00,2024,2,Monday   ,17,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
749,A1,112,0,2024-02-06 16:00:00+00,2024,2,Tuesday  ,16,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
807,D4,142,0,2024-07-11 10:00:00+00,2024,7,Thursday ,10,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
817,C6,186,0,2023-12-22 17:42:00+00,2023,12,Friday   ,17,ALLSTATE ROAD,,,
822,E5,550,0,2023-11-01 15:12:00+00,2023,11,Wednesday,15,WASHINGTON ST,42.27581763291564,-71.13991340648704,"(42.27581763291564, -71.13991340648704)"
834,C6,200,0,2024-02-04 07:25:00+00,2024,2,Sunday   ,7,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
862,D4,,0,2023-07-19 18:37:00+00,2023,7,Wednesday,18,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
863,C11,452,0,2023-12-19 10:36:00+00,2023,12,Tuesday  ,10,WASHINGTON ST,42.29569634200888,-71.07214116564936,"(42.295696342008874, -71.07214116564936)"
873,C6,186,0,2023-12-20 08:41:00+00,2023,12,Wednesday,8,ALLSTATE RD,42.328099189441325,-71.0632172846628,"(42.328099189441325, -71.0632172846628)"
